INFO     | 2026-04-22 13:21:56,515 | config     | Loading configuration at '.\partition_finder.cfg'
INFO     | 2026-04-22 13:21:56,523 | config     | Setting 'alignment' to 'CDS-.phy'
INFO     | 2026-04-22 13:21:56,526 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2026-04-22 13:21:56,526 | parser     | You set 'models' to: beast
INFO     | 2026-04-22 13:21:56,591 | model_load | This analysis will use the following 40 models of molecular evolution
INFO     | 2026-04-22 13:21:56,592 | model_load | JC, K80, TRNEF, SYM, HKY, TRN, GTR, HKY+X, TRN+X, GTR+X, JC+G, K80+G, TRNEF+G, SYM+G, HKY+G, TRN+G, GTR+G, HKY+G+X, TRN+G+X, GTR+G+X, JC+I, K80+I, TRNEF+I, SYM+I, HKY+I, TRN+I, GTR+I, HKY+I+X, TRN+I+X, GTR+I+X, JC+I+G, K80+I+G, TRNEF+I+G, SYM+I+G, HKY+I+G, TRN+I+G, GTR+I+G, HKY+I+G+X, TRN+I+G+X, GTR+I+G+X
INFO     | 2026-04-22 13:21:56,595 | config     | Setting 'model_selection' to 'aicc'
ERROR    | 2026-04-22 13:21:56,595 | parser     | There was a problem loading your .cfg file, please check and try again
ERROR    | 2026-04-22 13:21:56,595 | parser     | Expected "=", found '.' (at char 351), (line:15, col:19)
INFO     | 2026-04-22 13:21:56,595 | parser     | The line causing the problem is this: 'CDS-ATP6_DNA_MAFFT.fasta.fa_1stPos = 1-684\3;'. Please check that line, and make sure it appears in the right place in the config file. If it looks OK, try double-checking the semi-colons on other lines
ERROR    | 2026-04-22 13:21:56,595 | main       | Failed to run. See previous errors.
INFO     | 2026-04-22 13:25:53,836 | config     | Loading configuration at '.\partition_finder.cfg'
INFO     | 2026-04-22 13:25:53,842 | config     | Setting 'alignment' to 'CDS-.phy'
INFO     | 2026-04-22 13:25:53,842 | config     | Setting 'branchlengths' to 'unlinked'
INFO     | 2026-04-22 13:25:53,842 | parser     | You set 'models' to: mrbayes
INFO     | 2026-04-22 13:25:53,901 | model_load | This analysis will use the following 24 models of molecular evolution
