name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,11361,-19415.71,282,39,39395.42,39409.83,41464.72
step_1,11361,-19416.93,275,38,39383.87,39397.56,41401.80
step_2,11361,-19416.34,270,37,39372.67,39385.87,41353.92
step_3,11361,-19417.11,264,36,39362.22,39374.83,41299.44
step_4,11361,-19419.11,257,35,39352.22,39364.16,41238.07
step_5,11361,-19420.27,251,34,39342.54,39353.92,41184.36
step_6,11361,-19418.35,248,33,39332.70,39343.81,41152.51
step_7,11361,-19419.10,243,32,39324.20,39334.87,41107.32
step_8,11361,-19420.97,237,31,39315.95,39326.09,41055.04
step_9,11361,-19423.07,231,30,39308.13,39317.76,41003.20
step_10,11361,-19424.58,226,29,39301.15,39310.37,40959.53
step_11,11361,-19428.27,219,28,39294.54,39303.19,40901.55
step_12,11361,-19431.15,213,27,39288.29,39296.47,40851.28
step_13,11361,-19431.35,210,26,39282.70,39290.65,40823.67
step_14,11361,-19433.82,205,25,39277.64,39285.21,40781.92
step_15,11361,-19435.83,201,24,39273.66,39280.94,40748.59
step_16,11361,-19440.56,195,23,39271.13,39277.97,40702.02
step_17,11361,-19446.35,188,22,39268.70,39275.06,40648.23
step_18,11361,-19452.24,181,21,39266.49,39272.38,40594.66
step_19,11361,-19457.21,175,20,39264.43,39269.93,40548.57
step_20,11361,-19462.30,169,19,39262.59,39267.73,40502.71
step_21,11361,-19465.09,166,18,39262.18,39267.14,40480.28
step_22,11361,-19469.98,161,17,39261.95,39266.61,40443.36
