Model selection results for subset: 07987d84014ba01bbd18a0cd99190f16
Subset alignment stored here: .\analysis\phylofiles\07987d84014ba01bbd18a0cd99190f16.phy
This subset contains the following data_blocks: CDS-COX1_DNA_MAFFT_1stPos
Number of columns in subset: 516
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+I+X         | 6               | -788.703        | 1589.571         | 1589.406        | 1614.8827      
TRN+I           | 6               | -788.72284      | 1589.6107        | 1589.4457       | 1614.9224      
TRN+I+G+X       | 7               | -788.70245      | 1591.6254        | 1591.4049       | 1621.1277      
TRN+I+G         | 7               | -788.73267      | 1591.6858        | 1591.4653       | 1621.1881      
TRNEF+I         | 3               | -793.3911       | 1592.8291        | 1592.7822       | 1605.5205      
GTR+I+X         | 9               | -787.809        | 1593.9738        | 1593.618        | 1631.833       
GTR+I           | 9               | -787.82526      | 1594.0062        | 1593.6505       | 1631.8655      
TRNEF+I+G       | 4               | -793.40674      | 1594.8917        | 1594.8135       | 1611.7979      
GTR+I+G+X       | 10              | -787.8034       | 1596.0425        | 1595.6068       | 1638.0679      
GTR+I+G         | 10              | -787.83136      | 1596.0984        | 1595.6627       | 1638.1238      
TRN+G+X         | 6               | -792.41516      | 1596.9954        | 1596.8303       | 1622.307       
TRN+G           | 6               | -792.44415      | 1597.0533        | 1596.8883       | 1622.365       
SYM+I           | 6               | -792.5081       | 1597.1813        | 1597.0162       | 1622.4929      
SYM+I+G         | 7               | -792.5171       | 1599.2546        | 1599.0342       | 1628.757       
TRNEF+G         | 3               | -797.161        | 1600.3689        | 1600.322        | 1613.0603      
GTR+G+X         | 9               | -791.20044      | 1600.7566        | 1600.4009       | 1638.6158      
GTR+G           | 9               | -791.22205      | 1600.7998        | 1600.4441       | 1638.659       
HKY+I+X         | 5               | -796.4827       | 1603.0831        | 1602.9655       | 1624.196       
HKY+I           | 5               | -796.5482       | 1603.2141        | 1603.0964       | 1624.327       
SYM+G           | 6               | -795.93506      | 1604.0352        | 1603.8701       | 1629.3468      
TRN+X           | 5               | -797.15234      | 1604.4224        | 1604.3047       | 1625.5353      
TRN             | 5               | -797.1812       | 1604.4801        | 1604.3624       | 1625.593       
HKY+I+G+X       | 6               | -796.4759       | 1605.1168        | 1604.9518       | 1630.4285      
HKY+I+G         | 6               | -796.5046       | 1605.1742        | 1605.0092       | 1630.4858      
K80+I           | 2               | -800.8061       | 1605.6356        | 1605.6122       | 1614.1044      
K80+I+G         | 3               | -800.7815       | 1607.6099        | 1607.563        | 1620.3013      
TRNEF           | 2               | -801.8957       | 1607.8148        | 1607.7914       | 1616.2836      
GTR+X           | 8               | -795.8149       | 1607.9138        | 1607.6298       | 1641.5986      
GTR             | 8               | -795.83636      | 1607.9568        | 1607.6727       | 1641.6416      
SYM             | 5               | -800.5477       | 1611.2131        | 1611.0955       | 1632.326       
HKY+G+X         | 5               | -803.72034      | 1617.5583        | 1617.4407       | 1638.6713      
K80+G           | 2               | -806.8685       | 1617.7605        | 1617.737        | 1626.2292      
HKY+G           | 5               | -804.01587      | 1618.1494        | 1618.0317       | 1639.2623      
K80             | 1               | -811.2549       | 1624.5176        | 1624.5098       | 1628.7559      
HKY+X           | 4               | -808.2283       | 1624.5348        | 1624.4565       | 1641.4409      
HKY             | 4               | -808.5767       | 1625.2317        | 1625.1534       | 1642.1378      
JC+I            | 1               | -814.1052       | 1630.2183        | 1630.2104       | 1634.4565      
JC+I+G          | 2               | -814.10297      | 1632.2294        | 1632.2059       | 1640.6981      
JC+G            | 1               | -821.1509       | 1644.3096        | 1644.3018       | 1648.5479      
JC              | 0               | -825.4578       | 1650.9156        | 1650.9156       | 1650.9156      
