Model selection results for subset: 13f13ce39d36c12b166d4f8657ea6680
Subset alignment stored here: .\analysis\phylofiles\13f13ce39d36c12b166d4f8657ea6680.phy
This subset contains the following data_blocks: CDS-ND4_DNA_MAFFT_3stPos, CDS-ATP8_DNA_MAFFT_3stPos, CDS-ND2_DNA_MAFFT_3stPos, CDS-COX3_DNA_MAFFT_3stPos
Number of columns in subset: 1122
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+I+X         | 6               | -2159.887       | 4331.849         | 4331.774        | 4361.911       
TRN+I+G+X       | 7               | -2159.9304      | 4333.9614        | 4333.861        | 4369.021       
HKY+I+X         | 5               | -2162.6228      | 4335.2993        | 4335.2456       | 4360.36        
GTR+I+X         | 9               | -2159.1094      | 4336.381         | 4336.2188       | 4381.425       
HKY+G+X         | 5               | -2163.2427      | 4336.539         | 4336.4854       | 4361.5996      
HKY+I+G+X       | 6               | -2162.6326      | 4337.3403        | 4337.265        | 4367.4023      
TRN+G+X         | 6               | -2162.7717      | 4337.6187        | 4337.5435       | 4367.6807      
GTR+I+G+X       | 10              | -2159.1501      | 4338.4985        | 4338.3003       | 4388.529       
HKY+X           | 4               | -2166.5305      | 4341.0967        | 4341.061        | 4361.1523      
GTR+G+X         | 9               | -2161.8445      | 4341.851         | 4341.689        | 4386.895       
TRN+X           | 5               | -2166.3196      | 4342.693         | 4342.639        | 4367.7534      
TRN+I           | 6               | -2166.654       | 4345.3833        | 4345.308        | 4375.4453      
GTR+X           | 8               | -2165.3347      | 4346.799         | 4346.6694       | 4386.8525      
TRN+I+G         | 7               | -2166.6946      | 4347.4897        | 4347.389        | 4382.5493      
HKY+I           | 5               | -2169.5078      | 4349.0693        | 4349.0156       | 4374.13        
GTR+I           | 9               | -2165.7356      | 4349.6333        | 4349.471        | 4394.6772      
HKY+G           | 5               | -2170.0398      | 4350.1333        | 4350.0796       | 4375.194       
TRN+G           | 6               | -2169.489       | 4351.053         | 4350.978        | 4381.115       
HKY+I+G         | 6               | -2169.515       | 4351.105         | 4351.03         | 4381.167       
GTR+I+G         | 10              | -2165.7715      | 4351.741         | 4351.543        | 4401.7715      
GTR+G           | 9               | -2168.4219      | 4355.006         | 4354.8438       | 4400.05        
HKY             | 4               | -2173.8792      | 4355.794         | 4355.7583       | 4375.8496      
TRN             | 5               | -2173.6084      | 4357.2705        | 4357.217        | 4382.331       
GTR             | 8               | -2172.5332      | 4361.196         | 4361.0664       | 4401.2495      
SYM+G           | 6               | -2583.7278      | 5179.531         | 5179.4556       | 5209.593       
SYM+I+G         | 7               | -2583.723       | 5181.5464        | 5181.446        | 5216.606       
SYM+I           | 6               | -2585.1663      | 5182.4077        | 5182.3325       | 5212.4697      
SYM             | 5               | -2586.565       | 5183.1836        | 5183.13         | 5208.244       
TRNEF+G         | 3               | -2589.8057      | 5185.633         | 5185.6113       | 5200.68        
TRNEF+I+G       | 4               | -2589.804       | 5187.6436        | 5187.608        | 5207.699       
TRNEF+I         | 3               | -2591.3792      | 5188.78          | 5188.7583       | 5203.827       
TRNEF           | 2               | -2592.8616      | 5189.734         | 5189.723        | 5199.769       
K80+G           | 2               | -2669.6172      | 5343.245         | 5343.2344       | 5353.2803      
K80+I           | 2               | -2669.6772      | 5343.365         | 5343.3545       | 5353.4004      
K80+I+G         | 3               | -2669.6523      | 5345.326         | 5345.3047       | 5360.3735      
K80             | 1               | -2688.4822      | 5378.968         | 5378.9644       | 5383.9873      
JC+G            | 1               | -2926.9463      | 5855.896         | 5855.8926       | 5860.9155      
JC+I+G          | 2               | -2926.768       | 5857.547         | 5857.536        | 5867.582       
JC+I            | 1               | -2928.2502      | 5858.504         | 5858.5005       | 5863.5234      
JC              | 0               | -2940.3137      | 5880.6274        | 5880.6274       | 5880.6274      
