Model selection results for subset: 15a4520dcc97368de5182ee36877e9a1
Subset alignment stored here: .\analysis\phylofiles\15a4520dcc97368de5182ee36877e9a1.phy
This subset contains the following data_blocks: CDS-ATP6_DNA_MAFFT_1stPos, CDS-ND2_DNA_MAFFT_1stPos, CDS-ND5_DNA_MAFFT_1stPos
Number of columns in subset: 1170
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+X           | 8               | -1972.9459      | 3962.0159        | 3961.8918       | 4002.41        
GTR+G+X         | 9               | -1971.9644      | 3962.084         | 3961.9287       | 4007.5115      
GTR             | 8               | -1973.0464      | 3962.2168        | 3962.0928       | 4002.6108      
GTR+G           | 9               | -1972.0664      | 3962.288         | 3962.1328       | 4007.7156      
GTR+I+X         | 9               | -1972.15        | 3962.4553        | 3962.3          | 4007.8828      
TRN+G+X         | 6               | -1975.2228      | 3962.5178        | 3962.4456       | 3992.8342      
GTR+I           | 9               | -1972.2451      | 3962.6455        | 3962.4902       | 4008.073       
TRN+G           | 6               | -1975.3743      | 3962.8208        | 3962.7485       | 3993.1372      
TRN+X           | 5               | -1976.6385      | 3963.3286        | 3963.277        | 3988.6008      
TRN+I+X         | 6               | -1975.6511      | 3963.3745        | 3963.3022       | 3993.691       
TRN             | 5               | -1976.7891      | 3963.6296        | 3963.5781       | 3988.9019      
TRN+I           | 6               | -1975.8074      | 3963.687         | 3963.6147       | 3994.0034      
GTR+I+G+X       | 10              | -1971.955       | 3964.0996        | 3963.91         | 4014.5576      
GTR+I+G         | 10              | -1972.054       | 3964.2976        | 3964.108        | 4014.7556      
TRN+I+G+X       | 7               | -1975.1469      | 3964.3901        | 3964.2937       | 3999.747       
TRN+I+G         | 7               | -1975.2987      | 3964.6938        | 3964.5974       | 4000.0508      
HKY+G+X         | 5               | -1978.1686      | 3966.3887        | 3966.3372       | 3991.661       
HKY+I+X         | 5               | -1978.171       | 3966.3936        | 3966.342        | 3991.6658      
HKY+I           | 5               | -1978.3855      | 3966.8225        | 3966.771        | 3992.0947      
HKY+G           | 5               | -1978.5264      | 3967.1042        | 3967.0527       | 3992.3765      
HKY+I+G+X       | 6               | -1977.643       | 3967.3582        | 3967.286        | 3997.6746      
HKY+I+G         | 6               | -1978.069       | 3968.2102        | 3968.138        | 3998.5266      
HKY+X           | 4               | -1980.6493      | 3969.333         | 3969.2986       | 3989.5576      
HKY             | 4               | -1981.168       | 3970.3704        | 3970.336        | 3990.595       
SYM+G           | 6               | -2058.4702      | 4129.0127        | 4128.9404       | 4159.329       
SYM             | 5               | -2059.5425      | 4129.1367        | 4129.085        | 4154.4087      
SYM+I           | 6               | -2058.6975      | 4129.4673        | 4129.395        | 4159.7837      
SYM+I+G         | 7               | -2058.4573      | 4131.0107        | 4130.9146       | 4166.3677      
TRNEF+G         | 3               | -2063.5703      | 4133.161         | 4133.1406       | 4148.335       
TRNEF           | 2               | -2065.0261      | 4134.0625        | 4134.0522       | 4144.1816      
TRNEF+I         | 3               | -2064.2646      | 4134.55          | 4134.5293       | 4149.7236      
TRNEF+I+G       | 4               | -2063.5366      | 4135.1074        | 4135.073        | 4155.3325      
K80+G           | 2               | -2067.377       | 4138.764         | 4138.754        | 4148.8833      
K80+I           | 2               | -2067.6338      | 4139.278         | 4139.2676       | 4149.397       
K80+I+G         | 3               | -2067.189       | 4140.3984        | 4140.378        | 4155.5723      
K80             | 1               | -2069.4412      | 4140.8857        | 4140.8823       | 4145.9473      
JC+G            | 1               | -2123.8125      | 4249.6284        | 4249.625        | 4254.69        
JC              | 0               | -2124.923       | 4249.846         | 4249.846        | 4249.846       
JC+I            | 1               | -2124.2256      | 4250.4546        | 4250.451        | 4255.516       
JC+I+G          | 2               | -2123.8076      | 4251.6255        | 4251.615        | 4261.7446      
