Model selection results for subset: 233182a7cb51f187384b5bab6a116a71
Subset alignment stored here: .\analysis\phylofiles\233182a7cb51f187384b5bab6a116a71.phy
This subset contains the following data_blocks: CDS-ATP8_DNA_MAFFT_1stPos
Number of columns in subset: 55
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+X           | 5               | -90.39837       | 192.02122        | 190.79674       | 200.8334       
TRN             | 5               | -90.57346       | 192.37141        | 191.14693       | 201.1836       
TRN+I+X         | 6               | -90.39929       | 194.54858        | 192.79858       | 204.84259      
TRN+G+X         | 6               | -90.41383       | 194.57767        | 192.82767       | 204.87167      
TRN+I           | 6               | -90.57663       | 194.90326        | 193.15326       | 205.19727      
TRN+G           | 6               | -90.59081       | 194.93163        | 193.18163       | 205.22563      
HKY+X           | 4               | -93.22451       | 195.24902        | 194.44902       | 202.47835      
GTR+X           | 8               | -88.3021        | 195.73463        | 192.6042        | 208.66287      
GTR             | 8               | -88.39551       | 195.92145        | 192.79102       | 208.84969      
HKY             | 4               | -93.63067       | 196.06134        | 195.26134       | 203.29066      
TRN+I+G+X       | 7               | -90.40005       | 197.18307        | 194.8001        | 208.85143      
TRN+I+G         | 7               | -90.57516       | 197.5333         | 195.15031       | 209.20164      
HKY+I+X         | 5               | -93.23025       | 197.68498        | 196.4605        | 206.49716      
HKY+G+X         | 5               | -93.23489       | 197.69427        | 196.46979       | 206.50645      
HKY+I           | 5               | -93.63303       | 198.49055        | 197.26607       | 207.30273      
HKY+G           | 5               | -93.6354        | 198.49529        | 197.2708        | 207.30746      
GTR+I+X         | 9               | -88.30527       | 198.61053        | 194.61053       | 212.67653      
GTR+G+X         | 9               | -88.31595       | 198.6319         | 194.6319        | 212.69789      
GTR+I           | 9               | -88.39778       | 198.79556        | 194.79556       | 212.86156      
GTR+G           | 9               | -88.40929       | 198.81857        | 194.81857       | 212.88457      
HKY+I+G+X       | 6               | -93.24009       | 200.23018        | 198.48018       | 210.52419      
HKY+I+G         | 6               | -93.63768       | 201.02536        | 199.27536       | 211.31937      
GTR+I+G+X       | 10              | -88.30414       | 201.60828        | 196.60828       | 216.68161      
GTR+I+G         | 10              | -88.39742       | 201.79485        | 196.79485       | 216.86818      
K80             | 1               | -100.80678      | 203.68903        | 203.61356       | 205.6209       
TRNEF           | 2               | -99.93355       | 204.09787        | 203.8671        | 207.88176      
JC              | 0               | -102.18911      | 204.37822        | 204.37822       | 204.37822      
K80+I           | 2               | -100.81517      | 205.86111        | 205.63034       | 209.645        
K80+G           | 2               | -100.81894      | 205.86865        | 205.63788       | 209.65254      
TRNEF+I         | 3               | -99.94237       | 206.35532        | 205.88474       | 211.90674      
TRNEF+G         | 3               | -99.94533       | 206.36124        | 205.89066       | 211.91266      
JC+I            | 1               | -102.19673      | 206.46893        | 206.39346       | 208.4008       
JC+G            | 1               | -102.19909      | 206.47365        | 206.39818       | 208.40552      
K80+I+G         | 3               | -100.81651      | 208.1036         | 207.63303       | 213.65503      
SYM             | 5               | -98.4887        | 208.20189        | 206.9774        | 217.01407      
JC+I+G          | 2               | -102.19803      | 208.62683        | 208.39606       | 212.41072      
TRNEF+I+G       | 4               | -99.94946       | 208.69893        | 207.89893       | 215.92825      
SYM+I           | 6               | -98.48811       | 210.72623        | 208.97623       | 221.02023      
SYM+G           | 6               | -98.54415       | 210.8383         | 209.0883        | 221.13231      
SYM+I+G         | 7               | -98.50797       | 213.39893        | 211.01595       | 225.06728      
