Model selection results for subset: 23d2ad670c343514ef987f8111411f0d
Subset alignment stored here: .\analysis\phylofiles\23d2ad670c343514ef987f8111411f0d.phy
This subset contains the following data_blocks: CDS-ND6_DNA_MAFFT_1stPos
Number of columns in subset: 175
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+I+X         | 6               | -275.72617      | 563.95233        | 563.45233       | 582.44104      
TRN+I           | 6               | -275.7642       | 564.0284         | 563.5284        | 582.5171       
HKY+I+X         | 5               | -276.97797      | 564.311          | 563.95593       | 579.77985      
HKY+G+X         | 5               | -276.97803      | 564.3111         | 563.95605       | 579.77997      
HKY+G           | 5               | -277.03293      | 564.4209         | 564.06586       | 579.8898       
HKY+I           | 5               | -277.03546      | 564.42596        | 564.0709        | 579.89484      
TRN+G+X         | 6               | -275.9652       | 564.4304         | 563.9304        | 582.9191       
TRN+G           | 6               | -276.0054       | 564.5108         | 564.0108        | 582.9995       
HKY+X           | 4               | -278.92953      | 566.09436        | 565.8591        | 578.5182       
HKY             | 4               | -279.00232      | 566.2399         | 566.00464       | 578.66376      
HKY+I+G+X       | 6               | -276.97827      | 566.45654        | 565.95654       | 584.94525      
HKY+I+G         | 6               | -277.03387      | 566.56775        | 566.06775       | 585.05646      
TRN+I+G+X       | 7               | -275.9653       | 566.60126        | 565.9306        | 588.0841       
TRN+I+G         | 7               | -276.00302      | 566.6767         | 566.00604       | 588.15955      
TRN+X           | 5               | -278.40982      | 567.1747         | 566.81964       | 582.64355      
TRN             | 5               | -278.4238       | 567.20264        | 566.8476        | 582.6715       
GTR+I           | 9               | -274.80405      | 568.699          | 567.6081        | 596.0912       
GTR+G+X         | 9               | -275.11508      | 569.32104        | 568.23016       | 596.71326      
GTR+I+X         | 9               | -275.20596      | 569.5028         | 568.4119        | 596.895        
GTR+G           | 9               | -275.88275      | 570.8564         | 569.7655        | 598.2486       
GTR+X           | 8               | -277.08008      | 571.02765        | 570.16016       | 595.47845      
GTR             | 8               | -277.0856       | 571.0387         | 570.1712        | 595.4895       
GTR+I+G+X       | 10              | -275.11578      | 571.57306        | 570.23157       | 601.87946      
GTR+I+G         | 10              | -275.1397       | 571.6209         | 570.2794        | 601.9273       
K80+I           | 2               | -317.9425       | 639.9548         | 639.885         | 646.2146       
K80+G           | 2               | -318.61865      | 641.30707        | 641.2373        | 647.5669       
TRNEF+I         | 3               | -317.6637       | 641.4678         | 641.3274        | 650.8218       
K80+I+G         | 3               | -317.93988      | 642.02014        | 641.87976       | 651.37415      
K80             | 1               | -320.5644       | 643.1519         | 643.1288        | 646.2936       
TRNEF+G         | 3               | -318.61063      | 643.36163        | 643.22125       | 652.71564      
TRNEF+I+G       | 4               | -317.66238      | 643.56006        | 643.32477       | 655.9839       
TRNEF           | 2               | -320.50613      | 645.08203        | 645.01227       | 651.34186      
SYM+I           | 6               | -317.1851       | 646.8702         | 646.3702        | 665.3589       
SYM+G           | 6               | -317.85074      | 648.2015         | 647.7015        | 666.6902       
SYM             | 5               | -319.33078      | 649.0166         | 648.66156       | 664.4855       
SYM+I+G         | 7               | -317.2711       | 649.2128         | 648.5422        | 670.6957       
JC+G            | 1               | -333.56918      | 669.1615         | 669.13837       | 672.30316      
JC              | 0               | -334.90012      | 669.80023        | 669.80023       | 669.80023      
JC+I+G          | 2               | -333.13184      | 670.33344        | 670.2637        | 676.59326      
JC+I            | 1               | -334.23105      | 670.4852         | 670.4621        | 673.6269       
