Model selection results for subset: 5cc985c4b5158d8d3365d2759c7d1c39
Subset alignment stored here: .\analysis\phylofiles\5cc985c4b5158d8d3365d2759c7d1c39.phy
This subset contains the following data_blocks: CDS-COX2_DNA_MAFFT_1stPos, CDS-COX3_DNA_MAFFT_1stPos
Number of columns in subset: 491
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
K80+I           | 2               | -813.559        | 1631.1426        | 1631.118        | 1639.511       
K80+I+G         | 3               | -813.5718       | 1633.1929        | 1633.1436       | 1645.7329      
TRNEF+I         | 3               | -814.1033       | 1634.2559        | 1634.2065       | 1646.7959      
TRNEF+I+G       | 4               | -813.5597       | 1635.2017        | 1635.1194       | 1651.9052      
TRNEF+G         | 3               | -814.73016      | 1635.5096        | 1635.4603       | 1648.0497      
HKY+I+X         | 5               | -812.75385      | 1635.6313        | 1635.5077       | 1656.4899      
TRN+I+G+X       | 7               | -810.7308       | 1635.6935        | 1635.4615       | 1664.8367      
HKY+I           | 5               | -812.86346      | 1635.8506        | 1635.7269       | 1656.7091      
TRN+I+G         | 7               | -810.8162       | 1635.8644        | 1635.6324       | 1665.0076      
K80+G           | 2               | -816.03644      | 1636.0974        | 1636.0729       | 1644.4658      
HKY+I+G+X       | 6               | -812.8387       | 1637.851         | 1637.6774       | 1662.8561      
HKY+I+G         | 6               | -812.9241       | 1638.0217        | 1637.8481       | 1663.0269      
TRNEF           | 2               | -817.37964      | 1638.7838        | 1638.7593       | 1647.1522      
TRN+I+X         | 6               | -813.4562       | 1639.0859        | 1638.9124       | 1664.0911      
TRN+I           | 6               | -813.679        | 1639.5316        | 1639.358        | 1664.5367      
K80             | 1               | -818.9287       | 1639.8656        | 1639.8574       | 1644.0538      
TRN+G+X         | 6               | -814.00446      | 1640.1825        | 1640.0089       | 1665.1876      
SYM+I           | 6               | -814.1062       | 1640.386         | 1640.2124       | 1665.3911      
TRN+G           | 6               | -814.15375      | 1640.4811        | 1640.3075       | 1665.4862      
HKY+G+X         | 5               | -815.4786       | 1641.0808        | 1640.9572       | 1661.9393      
HKY+G           | 5               | -815.63904      | 1641.4017        | 1641.2781       | 1662.2603      
SYM+G           | 6               | -814.73706      | 1641.6477        | 1641.4741       | 1666.6528      
SYM+I+G         | 7               | -813.9588       | 1642.1495        | 1641.9176       | 1671.2927      
TRN+X           | 5               | -816.6135       | 1643.3507        | 1643.227        | 1664.2092      
TRN             | 5               | -816.7362       | 1643.5961        | 1643.4724       | 1664.4546      
SYM             | 5               | -817.36017      | 1644.844         | 1644.7203       | 1665.7025      
HKY+X           | 4               | -818.3938       | 1644.8699        | 1644.7876       | 1661.5734      
GTR+I+X         | 9               | -813.4078       | 1645.1898        | 1644.8156       | 1682.5835      
HKY             | 4               | -818.60205      | 1645.2864        | 1645.2041       | 1661.9899      
GTR+I           | 9               | -813.5158       | 1645.4059        | 1645.0316       | 1682.7996      
GTR+G+X         | 9               | -814.0042       | 1646.3827        | 1646.0084       | 1683.7764      
GTR+G           | 9               | -814.128        | 1646.6302        | 1646.256        | 1684.0239      
GTR+I+G+X       | 10              | -813.35394      | 1647.1663        | 1646.7079       | 1688.6724      
GTR+I+G         | 10              | -813.3678       | 1647.194         | 1646.7356       | 1688.7001      
GTR+X           | 8               | -816.61914      | 1649.537         | 1649.2383       | 1682.8098      
GTR             | 8               | -816.7417       | 1649.7821        | 1649.4834       | 1683.0549      
JC+I            | 1               | -843.70734      | 1689.4229        | 1689.4147       | 1693.6111      
JC+I+G          | 2               | -843.01697      | 1690.0585        | 1690.0339       | 1698.4269      
JC+G            | 1               | -844.8948       | 1691.7977        | 1691.7896       | 1695.986       
JC              | 0               | -847.553        | 1695.106         | 1695.106        | 1695.106       
