Model selection results for subset: 5f5bf31aec26aa433827de23fd5d4003
Subset alignment stored here: .\analysis\phylofiles\5f5bf31aec26aa433827de23fd5d4003.phy
This subset contains the following data_blocks: CDS-ND6_DNA_MAFFT_2stPos
Number of columns in subset: 175
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+I+X         | 6               | -249.78531      | 512.0706         | 511.57062       | 530.5593       
TRN+I           | 6               | -249.80058      | 512.1012         | 511.60117       | 530.5899       
TRN+I+G+X       | 7               | -250.00352      | 514.67773        | 514.0071        | 536.1605       
TRN+I+G         | 7               | -250.00919      | 514.689          | 514.0184        | 536.1719       
HKY+I+X         | 5               | -252.27666      | 514.9083         | 514.55334       | 530.37726      
HKY+I           | 5               | -252.31699      | 514.989          | 514.634         | 530.4579       
TRN+G+X         | 6               | -251.49834      | 515.4967         | 514.9967        | 533.9854       
TRN+G           | 6               | -251.52174      | 515.54346        | 515.04346       | 534.0322       
TRN             | 5               | -253.09882      | 516.5527         | 516.19763       | 532.02155      
HKY+I+G+X       | 6               | -252.39452      | 517.28906        | 516.78906       | 535.7778       
HKY+I+G         | 6               | -252.43854      | 517.3771         | 516.8771        | 535.8658       
GTR+I+X         | 9               | -249.78603      | 518.66296        | 517.572         | 546.0551       
TRN+X           | 5               | -254.41151      | 519.17804        | 518.823         | 534.647        
HKY+G+X         | 5               | -254.94305      | 520.24115        | 519.8861        | 535.71         
HKY+G           | 5               | -255.06795      | 520.4909         | 520.13586       | 535.95984      
GTR+I+G+X       | 10              | -249.78416      | 520.9098         | 519.56836       | 551.2162       
GTR+I+G         | 10              | -249.78954      | 520.92053        | 519.5791        | 551.2269       
HKY+X           | 4               | -256.53537      | 521.306          | 521.07074       | 533.72986      
HKY             | 4               | -256.69064      | 521.6166         | 521.3813        | 534.0404       
GTR+G+X         | 9               | -251.50977      | 522.1104         | 521.01953       | 549.5026       
GTR+G           | 9               | -251.5324       | 522.1557         | 521.0648        | 549.54785      
GTR+X           | 8               | -253.2091       | 523.2857         | 522.4182        | 547.7365       
GTR             | 8               | -253.61401      | 524.0955         | 523.228         | 548.5463       
GTR+I           | 9               | -254.31944      | 527.7298         | 526.6389        | 555.12195      
TRNEF+I         | 3               | -274.257        | 554.65436        | 554.514         | 564.00836      
TRNEF+I+G       | 4               | -274.47714      | 557.1896         | 556.9543        | 569.6134       
K80+I           | 2               | -276.6411       | 557.352          | 557.2822        | 563.6118       
TRNEF+G         | 3               | -276.6139       | 559.36816        | 559.2278        | 568.72217      
K80+I+G         | 3               | -276.67722      | 559.4948         | 559.35443       | 568.8488       
TRNEF           | 2               | -278.28384      | 560.63745        | 560.5677        | 566.8973       
SYM+I           | 6               | -274.25586      | 561.0117         | 560.5117        | 579.5004       
K80+G           | 2               | -279.47836      | 563.0265         | 562.9567        | 569.2863       
SYM+I+G         | 7               | -274.2995       | 563.26965        | 562.599         | 584.7525       
K80             | 1               | -280.9468       | 563.91675        | 563.8936        | 567.0584       
SYM+G           | 6               | -276.61395      | 565.7279         | 565.2279        | 584.2166       
SYM             | 5               | -278.28415      | 566.92334        | 566.5683        | 582.3922       
JC+I            | 1               | -283.59854      | 569.2202         | 569.1971        | 572.3619       
JC+I+G          | 2               | -283.5881       | 571.246          | 571.1762        | 577.5058       
JC+G            | 1               | -286.15543      | 574.334          | 574.31085       | 577.47565      
JC              | 0               | -287.557        | 575.114          | 575.114         | 575.114        
