Model selection results for subset: 650aed2b65642ef58e4cf000d681e602
Subset alignment stored here: .\analysis\phylofiles\650aed2b65642ef58e4cf000d681e602.phy
This subset contains the following data_blocks: CDS-ND4_DNA_MAFFT_1stPos, CDS-ND3_DNA_MAFFT_1stPos, CDS-CYTB_DNA_MAFFT_1stPos, CDS-ND1_DNA_MAFFT_1stPos
Number of columns in subset: 1283
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+I+X         | 5               | -2287.2175      | 4584.482         | 4584.435        | 4610.2197      
HKY+I           | 5               | -2287.367       | 4584.781         | 4584.734        | 4610.5186      
HKY+I+G+X       | 6               | -2286.8748      | 4585.8154        | 4585.7495       | 4616.6914      
HKY+I+G         | 6               | -2286.9343      | 4585.9346        | 4585.8687       | 4616.8105      
TRN+I+X         | 6               | -2286.9368      | 4585.9395        | 4585.8735       | 4616.8154      
TRN+I+G+X       | 7               | -2286.0403      | 4586.1685        | 4586.0806       | 4622.179       
TRN+I           | 6               | -2287.075       | 4586.216         | 4586.15         | 4617.092       
TRN+I+G         | 7               | -2286.1538      | 4586.3955        | 4586.3076       | 4622.4062      
GTR+I+X         | 9               | -2284.888       | 4587.9175        | 4587.776        | 4634.1885      
GTR+I+G+X       | 10              | -2283.9302      | 4588.033         | 4587.8604       | 4639.4297      
GTR+I+G         | 10              | -2283.9753      | 4588.1235        | 4587.9507       | 4639.52        
GTR+I           | 9               | -2285.0093      | 4588.16          | 4588.0186       | 4634.431       
GTR+G+X         | 9               | -2288.375       | 4594.8916        | 4594.75         | 4641.1626      
GTR+G           | 9               | -2288.4868      | 4595.115         | 4594.9736       | 4641.386       
TRN+G+X         | 6               | -2292.361       | 4596.788         | 4596.722        | 4627.664       
TRN+G           | 6               | -2292.4924      | 4597.051         | 4596.985        | 4627.927       
HKY+G+X         | 5               | -2293.6924      | 4597.4316        | 4597.385        | 4623.1694      
HKY+G           | 5               | -2293.8843      | 4597.8154        | 4597.7686       | 4623.553       
GTR+X           | 8               | -2298.598       | 4613.3086        | 4613.196        | 4654.4517      
GTR             | 8               | -2298.7322      | 4613.577         | 4613.4644       | 4654.72        
TRN+X           | 5               | -2304.548       | 4619.143         | 4619.096        | 4644.881       
HKY+X           | 4               | -2305.6313      | 4619.294         | 4619.2627       | 4639.8906      
TRN             | 5               | -2304.687       | 4619.421         | 4619.374        | 4645.1587      
HKY             | 4               | -2305.852       | 4619.7354        | 4619.704        | 4640.332       
K80+I           | 2               | -2315.719       | 4635.4473        | 4635.438        | 4645.752       
TRNEF+I+G       | 4               | -2314.2234      | 4636.478         | 4636.447        | 4657.0747      
TRNEF+I         | 3               | -2315.2988      | 4636.616         | 4636.5977       | 4652.0684      
K80+I+G         | 3               | -2315.373       | 4636.7646        | 4636.746        | 4652.217       
SYM+I+G         | 7               | -2311.4292      | 4636.9463        | 4636.8584       | 4672.957       
SYM+I           | 6               | -2312.6558      | 4637.3774        | 4637.3115       | 4668.2534      
SYM+G           | 6               | -2315.6824      | 4643.4307        | 4643.3647       | 4674.3066      
TRNEF+G         | 3               | -2320.5676      | 4647.154         | 4647.1353       | 4662.606       
K80+G           | 2               | -2322.624       | 4649.2573        | 4649.248        | 4659.562       
SYM             | 5               | -2325.469       | 4660.985         | 4660.938        | 4686.7227      
TRNEF           | 2               | -2332.317       | 4668.643         | 4668.634        | 4678.9478      
K80             | 1               | -2334.2747      | 4670.5522        | 4670.5493       | 4675.706       
JC+I+G          | 2               | -2419.5664      | 4843.142         | 4843.133        | 4853.447       
JC+I            | 1               | -2421.4683      | 4844.9395        | 4844.9365       | 4850.0933      
JC+G            | 1               | -2423.154       | 4848.311         | 4848.308        | 4853.465       
JC              | 0               | -2431.5457      | 4863.0913        | 4863.0913       | 4863.0913      
