Model selection results for subset: 78d4e7088e8edae577f971776fe66f6c
Subset alignment stored here: .\analysis\phylofiles\78d4e7088e8edae577f971776fe66f6c.phy
This subset contains the following data_blocks: CDS-ATP6_DNA_MAFFT_2stPos, CDS-ND3_DNA_MAFFT_2stPos, CDS-ND1_DNA_MAFFT_2stPos, CDS-ND2_DNA_MAFFT_2stPos, CDS-ND4_DNA_MAFFT_2stPos, CDS-ND5_DNA_MAFFT_2stPos
Number of columns in subset: 2070
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+I+X         | 6               | -3151.5427      | 6315.126         | 6315.0854       | 6348.8975      
TRN+I           | 6               | -3151.626       | 6315.2925        | 6315.252        | 6349.064       
TRN+I+G         | 7               | -3151.001       | 6316.056         | 6316.002        | 6355.449       
TRN+I+G+X       | 7               | -3151.014       | 6316.082         | 6316.028        | 6355.475       
GTR+I+X         | 9               | -3151.0132      | 6320.114         | 6320.0264       | 6370.744       
GTR+I           | 9               | -3151.0266      | 6320.1406        | 6320.053        | 6370.771       
HKY+I           | 5               | -3155.2085      | 6320.4463        | 6320.417        | 6348.5938      
HKY+I+X         | 5               | -3155.2097      | 6320.4487        | 6320.4194       | 6348.596       
HKY+I+G+X       | 6               | -3154.227       | 6320.4946        | 6320.454        | 6354.266       
HKY+I+G         | 6               | -3154.2778      | 6320.596         | 6320.5557       | 6354.3677      
GTR+I+G+X       | 10              | -3150.5518      | 6321.2104        | 6321.1035       | 6377.4565      
GTR+I+G         | 10              | -3150.5642      | 6321.2354        | 6321.1284       | 6377.4814      
TRN+G+X         | 6               | -3157.1047      | 6326.25          | 6326.2095       | 6360.0215      
TRN+G           | 6               | -3157.1172      | 6326.275         | 6326.2344       | 6360.0464      
HKY+G+X         | 5               | -3158.6162      | 6327.2617        | 6327.2324       | 6355.409       
HKY+G           | 5               | -3158.6663      | 6327.362         | 6327.3325       | 6355.5093      
GTR+G+X         | 9               | -3157.0896      | 6332.2666        | 6332.179        | 6382.897       
GTR+G           | 9               | -3157.1016      | 6332.2905        | 6332.203        | 6382.921       
HKY+X           | 4               | -3166.8772      | 6341.774         | 6341.7544       | 6364.2954      
HKY             | 4               | -3166.9148      | 6341.849         | 6341.8296       | 6364.3706      
TRN+X           | 5               | -3165.983       | 6341.995         | 6341.966        | 6370.1426      
TRN             | 5               | -3165.9937      | 6342.0166        | 6341.9873       | 6370.164       
GTR+X           | 8               | -3165.9236      | 6347.917         | 6347.847        | 6392.9297      
GTR             | 8               | -3165.933       | 6347.936         | 6347.866        | 6392.9487      
TRNEF+I         | 3               | -3380.0337      | 6766.079         | 6766.0674       | 6782.973       
TRNEF+I+G       | 4               | -3379.6414      | 6767.3022        | 6767.2827       | 6789.8237      
SYM+I           | 6               | -3379.3608      | 6770.762         | 6770.7217       | 6804.5337      
SYM+I+G         | 7               | -3378.8926      | 6771.8394        | 6771.785        | 6811.2324      
TRNEF+G         | 3               | -3385.567       | 6777.1455        | 6777.134        | 6794.0396      
K80+I           | 2               | -3389.4526      | 6782.911         | 6782.9053       | 6794.176       
SYM+G           | 6               | -3385.5193      | 6783.079         | 6783.0386       | 6816.8506      
K80+I+G         | 3               | -3388.772       | 6783.5557        | 6783.544        | 6800.4497      
TRNEF           | 2               | -3394.3372      | 6792.68          | 6792.6743       | 6803.945       
K80+G           | 2               | -3396.795       | 6797.5957        | 6797.59         | 6808.8604      
SYM             | 5               | -3394.234       | 6798.497         | 6798.468        | 6826.6445      
K80             | 1               | -3405.358       | 6812.718         | 6812.716        | 6818.351       
JC+I+G          | 2               | -3477.4172      | 6958.8403        | 6958.8345       | 6970.105       
JC+I            | 1               | -3479.4148      | 6960.8315        | 6960.8296       | 6966.465       
JC+G            | 1               | -3483.2424      | 6968.487         | 6968.485        | 6974.12        
JC              | 0               | -3491.0608      | 6982.1216        | 6982.1216       | 6982.1216      
