Model selection results for subset: 870b1e70a500d3063a2ef86392048532
Subset alignment stored here: .\analysis\phylofiles\870b1e70a500d3063a2ef86392048532.phy
This subset contains the following data_blocks: CDS-ND1_DNA_MAFFT_3stPos
Number of columns in subset: 324
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+I+X         | 5               | -621.9776       | 1254.1439        | 1253.9552       | 1272.8589      
TRN+I+X         | 6               | -621.90515      | 1256.0753        | 1255.8103       | 1278.4948      
HKY+I+G+X       | 6               | -621.99615      | 1256.2573        | 1255.9923       | 1278.6768      
HKY+G+X         | 5               | -623.38336      | 1256.9554        | 1256.7667       | 1275.6704      
TRN+I+G+X       | 7               | -621.9255       | 1258.2053        | 1257.851        | 1284.3162      
HKY+I           | 5               | -624.24414      | 1258.677         | 1258.4883       | 1277.392       
TRN+G+X         | 6               | -623.2467       | 1258.7584        | 1258.4934       | 1281.1779      
TRN+I           | 6               | -624.2346       | 1260.7343        | 1260.4692       | 1283.1537      
HKY+I+G         | 6               | -624.264        | 1260.793         | 1260.528        | 1283.2124      
GTR+I+X         | 9               | -621.4811       | 1261.5354        | 1260.9622       | 1294.9889      
HKY+G           | 5               | -625.8354       | 1261.8595        | 1261.6708       | 1280.5745      
TRN+I+G         | 7               | -624.2564       | 1262.8672        | 1262.5128       | 1288.978       
TRN+G           | 6               | -625.5558       | 1263.3766        | 1263.1116       | 1285.796       
GTR+I+G+X       | 10              | -621.5281       | 1263.759         | 1263.0562       | 1300.8636      
GTR+G+X         | 9               | -622.8726       | 1264.3185        | 1263.7452       | 1297.772       
GTR+I           | 9               | -623.918        | 1266.4093        | 1265.836        | 1299.8628      
GTR+I+G         | 10              | -623.9477       | 1268.5983        | 1267.8954       | 1305.7029      
GTR+G           | 9               | -625.29236      | 1269.158         | 1268.5847       | 1302.6115      
TRN+X           | 5               | -629.9155       | 1270.0198        | 1269.831        | 1288.7347      
HKY+X           | 4               | -631.0192       | 1270.1638        | 1270.0385       | 1285.1614      
GTR+X           | 8               | -629.35266      | 1275.1625        | 1274.7053       | 1304.9513      
TRN             | 5               | -633.212        | 1276.6127        | 1276.424        | 1295.3276      
HKY             | 4               | -634.4121       | 1276.9496        | 1276.8242       | 1291.9471      
GTR             | 8               | -632.7146       | 1281.8864        | 1281.4292       | 1311.6752      
SYM+G           | 6               | -765.65955      | 1543.5841        | 1543.3191       | 1566.0035      
TRNEF+G         | 3               | -769.25854      | 1544.592         | 1544.5171       | 1555.8594      
SYM+I           | 6               | -766.6125       | 1545.49          | 1545.225        | 1567.9094      
SYM+I+G         | 7               | -765.6211       | 1545.5966        | 1545.2422       | 1571.7074      
TRNEF+I         | 3               | -770.0565       | 1546.188         | 1546.113        | 1557.4553      
TRNEF+I+G       | 4               | -769.23755      | 1546.6005        | 1546.4751       | 1561.598       
SYM             | 5               | -771.6645       | 1553.5177        | 1553.329        | 1572.2327      
K80+I           | 2               | -775.2965       | 1554.6304        | 1554.593        | 1562.1545      
K80+G           | 2               | -775.75024      | 1555.5378        | 1555.5005       | 1563.062       
TRNEF           | 2               | -775.9374       | 1555.9121        | 1555.8748       | 1563.4363      
K80+I+G         | 3               | -775.7506       | 1557.5762        | 1557.5012       | 1568.8435      
K80             | 1               | -787.4361       | 1576.8846        | 1576.8722       | 1580.653       
JC+G            | 1               | -817.445        | 1636.9025        | 1636.89         | 1640.6708      
JC+I+G          | 2               | -816.7511       | 1637.5396        | 1637.5022       | 1645.0637      
JC+I            | 1               | -818.1071       | 1638.2267        | 1638.2142       | 1641.995       
JC              | 0               | -824.1756       | 1648.3512        | 1648.3512       | 1648.3512      
