Model selection results for subset: 8b7cb06af978e310995ef039c7cff42d
Subset alignment stored here: .\analysis\phylofiles\8b7cb06af978e310995ef039c7cff42d.phy
This subset contains the following data_blocks: CDS-ND5_DNA_MAFFT_3stPos, CDS-CYTB_DNA_MAFFT_3stPos
Number of columns in subset: 976
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+X         | 9               | -1969.1924      | 3956.571         | 3956.3848       | 4000.336       
TRN+I+X         | 6               | -1972.793       | 3957.6726        | 3957.586        | 3986.8867      
GTR+X           | 8               | -1971.0403      | 3958.2295        | 3958.0806       | 3997.1482      
GTR+I+G+X       | 10              | -1969.2954      | 3958.8188        | 3958.5908       | 4007.4255      
GTR+G+X         | 9               | -1970.4727      | 3959.1316        | 3958.9453       | 4002.8965      
TRN+X           | 5               | -1974.6858      | 3959.4333        | 3959.3716       | 3983.7888      
TRN+I+G+X       | 7               | -1972.8115      | 3959.7388        | 3959.623        | 3993.8074      
TRN+G+X         | 6               | -1974.183       | 3960.4526        | 3960.366        | 3989.6667      
GTR+I           | 9               | -1971.2183      | 3960.6228        | 3960.4365       | 4004.3877      
TRN+I           | 6               | -1974.7618      | 3961.6104        | 3961.5237       | 3990.8245      
GTR             | 8               | -1973.2196      | 3962.5881        | 3962.4392       | 4001.5068      
GTR+I+G         | 10              | -1971.2239      | 3962.6758        | 3962.4478       | 4011.2825      
TRN+I+G         | 7               | -1974.7805      | 3963.6768        | 3963.561        | 3997.7454      
TRN             | 5               | -1976.8221      | 3963.706         | 3963.6443       | 3988.0615      
TRN+G           | 6               | -1976.1656      | 3964.418         | 3964.3313       | 3993.632       
GTR+G           | 9               | -1973.212       | 3964.6104        | 3964.424        | 4008.3752      
HKY+I+X         | 5               | -1980.2782      | 3970.6182        | 3970.5564       | 3994.9736      
HKY+G+X         | 5               | -1981.1863      | 3972.4343        | 3972.3726       | 3996.7898      
HKY+I+G+X       | 6               | -1980.2963      | 3972.6792        | 3972.5925       | 4001.8933      
HKY+X           | 4               | -1982.8706      | 3973.7825        | 3973.7412       | 3993.2751      
HKY+I           | 5               | -1982.7325      | 3975.5269        | 3975.465        | 3999.8823      
HKY+G           | 5               | -1983.693       | 3977.4478        | 3977.386        | 4001.8032      
HKY+I+G         | 6               | -1982.7522      | 3977.591         | 3977.5044       | 4006.8052      
HKY             | 4               | -1985.4858      | 3979.013         | 3978.9717       | 3998.5056      
TRNEF+G         | 3               | -2387.525       | 4781.0747        | 4781.05         | 4795.7         
TRNEF+I+G       | 4               | -2387.519       | 4783.079         | 4783.038        | 4802.572       
SYM+G           | 6               | -2385.571       | 4783.229         | 4783.142        | 4812.443       
SYM+I+G         | 7               | -2385.586       | 4785.2876        | 4785.172        | 4819.356       
TRNEF+I         | 3               | -2390.7146      | 4787.454         | 4787.429        | 4802.0796      
SYM+I           | 6               | -2388.7666      | 4789.62          | 4789.533        | 4818.834       
TRNEF           | 2               | -2402.0366      | 4808.0854        | 4808.073        | 4817.8403      
SYM             | 5               | -2400.393       | 4810.848         | 4810.786        | 4835.2036      
K80+I           | 2               | -2415.3508      | 4834.714         | 4834.7017       | 4844.4688      
K80+G           | 2               | -2416.4084      | 4836.829         | 4836.817        | 4846.584       
K80+I+G         | 3               | -2416.599       | 4839.223         | 4839.198        | 4853.8486      
K80             | 1               | -2453.533       | 4909.07          | 4909.066        | 4913.949       
JC+G            | 1               | -2676.4243      | 5354.8525        | 5354.8486       | 5359.732       
JC+I+G          | 2               | -2676.2256      | 5356.4634        | 5356.451        | 5366.2183      
JC+I            | 1               | -2679.136       | 5360.276         | 5360.272        | 5365.1553      
JC              | 0               | -2706.5164      | 5413.0327        | 5413.0327       | 5413.0327      
