Model selection results for subset: 975aeabdc2b9362418044641c3d511d5
Subset alignment stored here: .\analysis\phylofiles\975aeabdc2b9362418044641c3d511d5.phy
This subset contains the following data_blocks: CDS-CYTB_DNA_MAFFT_2stPos, CDS-COX2_DNA_MAFFT_2stPos
Number of columns in subset: 610
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+X           | 4               | -890.28595      | 1788.6381        | 1788.5719       | 1806.2257      
HKY             | 4               | -890.2906       | 1788.6473        | 1788.5812       | 1806.235       
TRN+X           | 5               | -890.1765       | 1790.4524        | 1790.353        | 1812.4203      
TRN             | 5               | -890.1807       | 1790.4608        | 1790.3615       | 1812.4287      
HKY+G+X         | 5               | -890.2907       | 1790.6808        | 1790.5814       | 1812.6487      
HKY+I+X         | 5               | -890.29114      | 1790.6816        | 1790.5823       | 1812.6495      
HKY+G           | 5               | -890.2952       | 1790.6898        | 1790.5905       | 1812.6577      
HKY+I           | 5               | -890.2955       | 1790.6903        | 1790.591        | 1812.6582      
TRN+I+X         | 6               | -890.17957      | 1792.4984        | 1792.3591       | 1818.8398      
TRN+G+X         | 6               | -890.1837       | 1792.5067        | 1792.3674       | 1818.8481      
TRN+I           | 6               | -890.1838       | 1792.5068        | 1792.3676       | 1818.8483      
TRN+G           | 6               | -890.1879       | 1792.5151        | 1792.3759       | 1818.8566      
GTR+X           | 8               | -888.14594      | 1792.5315        | 1792.2919       | 1827.5995      
HKY+I+G+X       | 6               | -890.29083      | 1792.721         | 1792.5817       | 1819.0624      
HKY+I+G         | 6               | -890.2954       | 1792.7301        | 1792.5908       | 1819.0715      
GTR             | 8               | -888.32574      | 1792.8911        | 1792.6515       | 1827.9591      
TRN+I+G+X       | 7               | -890.1802       | 1794.5464        | 1794.3604       | 1825.2545      
TRN+I+G         | 7               | -890.1844       | 1794.5548        | 1794.3688       | 1825.263       
GTR+G           | 9               | -888.14795      | 1794.596         | 1794.2959       | 1834.0171      
GTR+I+X         | 9               | -888.15515      | 1794.6104        | 1794.3103       | 1834.0315      
GTR+I           | 9               | -888.1589       | 1794.6178        | 1794.3177       | 1834.039       
GTR+G+X         | 9               | -888.2721       | 1794.8442        | 1794.5442       | 1834.2654      
GTR+I+G+X       | 10              | -888.4574       | 1797.2821        | 1796.9148       | 1841.0494      
GTR+I+G         | 10              | -888.46094      | 1797.2892        | 1796.9219       | 1841.0565      
TRNEF           | 2               | -940.1006       | 1884.221         | 1884.2012       | 1893.0281      
K80             | 1               | -941.1464       | 1884.2994        | 1884.2928       | 1888.7063      
TRNEF+G         | 3               | -940.1062       | 1886.252         | 1886.2124       | 1899.4528      
TRNEF+I         | 3               | -940.10736      | 1886.2543        | 1886.2147       | 1899.4551      
K80+G           | 2               | -941.1492       | 1886.3181        | 1886.2983       | 1895.1252      
K80+I           | 2               | -941.1498       | 1886.3193        | 1886.2996       | 1895.1265      
SYM             | 5               | -938.4194       | 1886.9381        | 1886.8387       | 1908.906       
TRNEF+I+G       | 4               | -940.1054       | 1888.277         | 1888.2108       | 1905.8646      
K80+I+G         | 3               | -941.1498       | 1888.3391        | 1888.2996       | 1901.5399      
SYM+G           | 6               | -938.4212       | 1888.9817        | 1888.8424       | 1915.3231      
SYM+I           | 6               | -938.43256      | 1889.0044        | 1888.8651       | 1915.3458      
SYM+I+G         | 7               | -938.4278       | 1891.0416        | 1890.8556       | 1921.7498      
JC              | 0               | -951.23303      | 1902.4661        | 1902.4661       | 1902.4661      
JC+I            | 1               | -951.2426       | 1904.4918        | 1904.4852       | 1908.8987      
JC+G            | 1               | -951.2444       | 1904.4954        | 1904.4888       | 1908.9022      
JC+I+G          | 2               | -951.24304      | 1906.5059        | 1906.4861       | 1915.313       
