Model selection results for subset: a60902573c67c4e004a7d6ae3bc9b3d8
Subset alignment stored here: .\analysis\phylofiles\a60902573c67c4e004a7d6ae3bc9b3d8.phy
This subset contains the following data_blocks: CDS-ATP8_DNA_MAFFT_2stPos, CDS-ND4L_DNA_MAFFT_1stPos
Number of columns in subset: 154
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+X           | 5               | -243.59993      | 497.60526        | 497.19986       | 512.38464      
TRN             | 5               | -243.62836      | 497.6621         | 497.2567        | 512.44147      
HKY+X           | 4               | -244.78204      | 497.83255        | 497.5641        | 509.71188      
HKY             | 4               | -244.85622      | 497.9809         | 497.71243       | 509.86023      
TRN+G+X         | 6               | -243.60593      | 499.7833         | 499.21185       | 517.4336       
TRN+I+X         | 6               | -243.61063      | 499.7927         | 499.22125       | 517.443        
TRN+G           | 6               | -243.63428      | 499.84           | 499.26855       | 517.4903       
TRN+I           | 6               | -243.63884      | 499.84912        | 499.27768       | 517.4994       
HKY+G+X         | 5               | -244.78856      | 499.9825         | 499.57712       | 514.7619       
HKY+I+X         | 5               | -244.80002      | 500.00543        | 499.60004       | 514.7848       
HKY+G           | 5               | -244.86263      | 500.13065        | 499.72525       | 514.91003      
HKY+I           | 5               | -244.92844      | 500.26227        | 499.85687       | 515.0416       
TRN+I+G+X       | 7               | -243.60085      | 501.9688         | 501.2017        | 522.4604       
TRN+I+G         | 7               | -243.63023      | 502.0276         | 501.26047       | 522.51917      
HKY+I+G+X       | 6               | -244.8005       | 502.17245        | 501.601         | 519.82275      
HKY+I+G         | 6               | -244.86372      | 502.2989         | 501.72745       | 519.94916      
GTR             | 8               | -243.62834      | 504.2498         | 503.25668       | 527.5523       
GTR+X           | 8               | -244.04808      | 505.08926        | 504.09616       | 528.3918       
TRNEF           | 2               | -251.08391      | 506.24728        | 506.16782       | 512.2417       
GTR+G+X         | 9               | -243.60036      | 506.4507         | 505.2007        | 532.53326      
GTR+G           | 9               | -243.63336      | 506.51672        | 505.26672       | 532.5993       
GTR+I+X         | 9               | -243.64532      | 506.54065        | 505.29065       | 532.6232       
GTR+I           | 9               | -243.70816      | 506.66632        | 505.41632       | 532.7489       
TRNEF+G         | 3               | -251.08801      | 508.33603        | 508.17603       | 517.28687      
TRNEF+I         | 3               | -251.10077      | 508.36154        | 508.20154       | 517.3124       
GTR+I+G         | 10              | -243.69293      | 508.92432        | 507.38586       | 537.7554       
GTR+I+G+X       | 10              | -243.80656      | 509.15158        | 507.61313       | 537.98267      
K80             | 1               | -253.84375      | 509.7138         | 509.6875        | 512.7244       
TRNEF+I+G       | 4               | -251.08556      | 510.43958        | 510.1711        | 522.3189       
K80+G           | 2               | -253.84769      | 511.77484        | 511.69537       | 517.7693       
K80+I           | 2               | -253.85284      | 511.78516        | 511.7057        | 517.7796       
SYM             | 5               | -251.084        | 512.5734         | 512.16797       | 527.3528       
K80+I+G         | 3               | -253.98354      | 514.1271         | 513.96704       | 523.07794      
SYM+I           | 6               | -251.10341      | 514.77826        | 514.2068        | 532.4285       
SYM+G           | 6               | -251.20921      | 514.98987        | 514.41846       | 532.64014      
SYM+I+G         | 7               | -251.08482      | 516.93677        | 516.1697        | 537.42834      
JC              | 0               | -265.9111       | 531.8222         | 531.8222        | 531.8222       
JC+I            | 1               | -265.91995      | 533.8662         | 533.8399        | 536.87683      
JC+G            | 1               | -265.92236      | 533.87103        | 533.8447        | 536.88165      
JC+I+G          | 2               | -265.91998      | 535.91943        | 535.83997       | 541.9139       
