Model selection results for subset: d1ce5579d8bf85885a8b4f64727ba2ad
Subset alignment stored here: .\analysis\phylofiles\d1ce5579d8bf85885a8b4f64727ba2ad.phy
This subset contains the following data_blocks: CDS-COX1_DNA_MAFFT_3stPos, CDS-COX2_DNA_MAFFT_3stPos, CDS-ND4L_DNA_MAFFT_3stPos, CDS-ATP6_DNA_MAFFT_3stPos
Number of columns in subset: 1072
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+X         | 9               | -2182.7585      | 4383.6865        | 4383.517        | 4428.3125      
TRN+I+X         | 6               | -2186.5706      | 4385.22          | 4385.141        | 4415.005       
GTR+I+G+X       | 10              | -2182.758       | 4385.7236        | 4385.516        | 4435.289       
GTR+G+X         | 9               | -2183.838       | 4385.845         | 4385.676        | 4430.471       
TRN+G+X         | 6               | -2187.2812      | 4386.6416        | 4386.5625       | 4416.4263      
TRN+I+G+X       | 7               | -2186.5757      | 4387.257         | 4387.1514       | 4421.992       
GTR+I           | 9               | -2185.2026      | 4388.5747        | 4388.4053       | 4433.2007      
TRN+I           | 6               | -2189.1843      | 4390.4478        | 4390.3687       | 4420.2324      
GTR+I+G         | 10              | -2185.2034      | 4390.6143        | 4390.4067       | 4440.1797      
HKY+G+X         | 5               | -2190.309       | 4390.6743        | 4390.618        | 4415.5044      
GTR+G           | 9               | -2186.281       | 4390.7314        | 4390.562        | 4435.3574      
TRN+G           | 6               | -2189.8796      | 4391.8384        | 4391.7593       | 4421.623       
HKY+I+X         | 5               | -2191.0493      | 4392.155         | 4392.0986       | 4416.985       
TRN+I+G         | 7               | -2189.1877      | 4392.481         | 4392.3755       | 4427.2163      
HKY+I+G+X       | 6               | -2190.3884      | 4392.856         | 4392.777        | 4422.6406      
GTR+X           | 8               | -2189.8875      | 4395.91          | 4395.775        | 4435.5933      
HKY+G           | 5               | -2193.1558      | 4396.3677        | 4396.3115       | 4421.1978      
TRN+X           | 5               | -2193.3057      | 4396.6675        | 4396.6113       | 4421.4976      
HKY+I           | 5               | -2193.9036      | 4397.8633        | 4397.807        | 4422.6934      
HKY+I+G         | 6               | -2193.236       | 4398.5513        | 4398.472        | 4428.336       
HKY+X           | 4               | -2195.7053      | 4399.448         | 4399.4106       | 4419.32        
GTR             | 8               | -2192.3506      | 4400.8364        | 4400.701        | 4440.5195      
TRN             | 5               | -2195.949       | 4401.954         | 4401.898        | 4426.784       
HKY             | 4               | -2198.6685      | 4405.3745        | 4405.337        | 4425.246       
TRNEF+G         | 3               | -2505.6724      | 5017.367         | 5017.3447       | 5032.2764      
TRNEF+I+G       | 4               | -2505.6614      | 5019.3604        | 5019.3228       | 5039.232       
TRNEF+I         | 3               | -2507.2415      | 5020.5054        | 5020.483        | 5035.4146      
SYM+G           | 6               | -2504.531       | 5021.141         | 5021.062        | 5050.926       
SYM+I+G         | 7               | -2504.5215      | 5023.1484        | 5023.043        | 5057.884       
TRNEF           | 2               | -2510.0376      | 5024.0864        | 5024.075        | 5034.03        
SYM+I           | 6               | -2506.079       | 5024.2373        | 5024.158        | 5054.022       
SYM             | 5               | -2508.5613      | 5027.1787        | 5027.1226       | 5052.009       
K80+G           | 2               | -2546.0613      | 5096.134         | 5096.1226       | 5106.077       
K80+I           | 2               | -2546.6572      | 5097.3257        | 5097.3145       | 5107.269       
K80+I+G         | 3               | -2546.082       | 5098.1865        | 5098.164        | 5113.0957      
K80             | 1               | -2559.2795      | 5120.563         | 5120.559        | 5125.536       
JC+G            | 1               | -2738.1968      | 5478.3975        | 5478.3936       | 5483.3706      
JC+I            | 1               | -2738.902       | 5479.808         | 5479.804        | 5484.7812      
JC+I+G          | 2               | -2738.123       | 5480.2573        | 5480.246        | 5490.2007      
JC              | 0               | -2744.7666      | 5489.533         | 5489.533        | 5489.533       
