Model selection results for subset: d261718dad0539c47c8aa2274fbf4348
Subset alignment stored here: .\analysis\phylofiles\d261718dad0539c47c8aa2274fbf4348.phy
This subset contains the following data_blocks: CDS-ND4L_DNA_MAFFT_2stPos, CDS-COX1_DNA_MAFFT_2stPos, CDS-COX3_DNA_MAFFT_2stPos
Number of columns in subset: 876
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+I+X         | 5               | -1248.3059      | 2506.6807        | 2506.6118       | 2530.4885      
HKY+I           | 5               | -1248.3114      | 2506.6917        | 2506.6228       | 2530.4995      
HKY+I+G+X       | 6               | -1247.3514      | 2506.7996        | 2506.703        | 2535.355       
HKY+I+G         | 6               | -1247.363       | 2506.8228        | 2506.726        | 2535.3782      
TRN+I+G+X       | 7               | -1247.3273      | 2508.7837        | 2508.6545       | 2542.082       
TRN+I+G         | 7               | -1247.338       | 2508.8052        | 2508.676        | 2542.1035      
TRN+I+X         | 6               | -1248.3782      | 2508.853         | 2508.7563       | 2537.4084      
TRN+I           | 6               | -1248.3862      | 2508.8691        | 2508.7725       | 2537.4246      
GTR+I+G+X       | 10              | -1247.3071      | 2514.8687        | 2514.6143       | 2562.368       
GTR+I+G         | 10              | -1247.3182      | 2514.8909        | 2514.6365       | 2562.3901      
GTR+I+X         | 9               | -1248.368       | 2514.9438        | 2514.736        | 2557.7144      
GTR+I           | 9               | -1248.3969      | 2515.0015        | 2514.7937       | 2557.772       
HKY+G+X         | 5               | -1266.1956      | 2542.46          | 2542.391        | 2566.2678      
HKY+G           | 5               | -1266.1991      | 2542.467         | 2542.3982       | 2566.275       
TRN+G+X         | 6               | -1266.1772      | 2544.4512        | 2544.3545       | 2573.0066      
TRN+G           | 6               | -1266.1796      | 2544.4558        | 2544.3591       | 2573.0112      
GTR+G+X         | 9               | -1265.1881      | 2548.584         | 2548.3762       | 2591.3545      
GTR+G           | 9               | -1265.1906      | 2548.5889        | 2548.381        | 2591.3594      
HKY+X           | 4               | -1270.4922      | 2549.0303        | 2548.9844       | 2568.086       
HKY             | 4               | -1270.4954      | 2549.0366        | 2548.9907       | 2568.0923      
TRN+X           | 5               | -1270.4817      | 2551.0322        | 2550.9634       | 2574.84        
TRN             | 5               | -1270.4839      | 2551.0366        | 2550.9678       | 2574.8445      
GTR+X           | 8               | -1269.4462      | 2555.0583        | 2554.8923       | 2593.0952      
GTR             | 8               | -1269.4487      | 2555.0635        | 2554.8975       | 2593.1003      
K80+I           | 2               | -1305.8123      | 2615.6382        | 2615.6245       | 2625.1753      
K80+I+G         | 3               | -1305.0166      | 2616.0608        | 2616.0332       | 2630.3594      
TRNEF+I         | 3               | -1305.4644      | 2616.9563        | 2616.9287       | 2631.255       
TRNEF+I+G       | 4               | -1304.6085      | 2617.263         | 2617.217        | 2636.3186      
SYM+I           | 6               | -1305.5361      | 2623.169         | 2623.0723       | 2651.7244      
SYM+I+G         | 7               | -1304.6089      | 2623.347         | 2623.2178       | 2656.6453      
JC+I            | 1               | -1316.095       | 2634.1946        | 2634.19         | 2638.9653      
JC+I+G          | 2               | -1315.1533      | 2634.3203        | 2634.3066       | 2643.8574      
K80+G           | 2               | -1323.462       | 2650.9377        | 2650.924        | 2660.4749      
TRNEF+G         | 3               | -1322.941       | 2651.9097        | 2651.882        | 2666.2083      
SYM+G           | 6               | -1321.8525      | 2655.8018        | 2655.705        | 2684.3572      
K80             | 1               | -1327.7247      | 2657.454         | 2657.4495       | 2662.2249      
TRNEF           | 2               | -1327.2286      | 2658.471         | 2658.4573       | 2668.008       
JC+G            | 1               | -1329.97        | 2661.9446        | 2661.94         | 2666.7153      
SYM             | 5               | -1326.0936      | 2662.256         | 2662.1873       | 2686.064       
JC              | 0               | -1334.1431      | 2668.2861        | 2668.2861       | 2668.2861      
