Model selection results for subset: dbd25f3ea42d8a4baebc39142889cf61
Subset alignment stored here: .\analysis\phylofiles\dbd25f3ea42d8a4baebc39142889cf61.phy
This subset contains the following data_blocks: CDS-ND6_DNA_MAFFT_3stPos
Number of columns in subset: 175
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+G+X         | 5               | -311.2211       | 632.79724        | 632.4422        | 648.2661       
HKY+I+X         | 5               | -311.42654      | 633.2081         | 632.8531        | 648.677        
HKY+G           | 5               | -311.66464      | 633.6843         | 633.3293        | 649.1532       
HKY+X           | 4               | -312.8832       | 634.0017         | 633.7664        | 646.42554      
HKY+I           | 5               | -311.86908      | 634.0932         | 633.73816       | 649.5621       
TRN+G+X         | 6               | -311.0549       | 634.6098         | 634.1098        | 653.0985       
TRN+X           | 5               | -312.17792      | 634.7109         | 634.35583       | 650.17975      
HKY+I+G+X       | 6               | -311.2445       | 634.989          | 634.489         | 653.4777       
HKY             | 4               | -313.42764      | 635.0906         | 634.8553        | 647.5144       
TRN+I+X         | 6               | -311.42722      | 635.35443        | 634.85443       | 653.84314      
TRN+G           | 6               | -311.49628      | 635.49255        | 634.99255       | 653.98126      
TRN             | 5               | -312.7051       | 635.76526        | 635.4102        | 651.23413      
HKY+I+G         | 6               | -311.66953      | 635.83905        | 635.33905       | 654.32776      
TRN+I           | 6               | -311.86877      | 636.23755        | 635.73755       | 654.72626      
TRN+I+G+X       | 7               | -311.05508      | 636.7808         | 636.11017       | 658.2637       
TRN+I+G         | 7               | -311.49393      | 637.6585         | 636.98785       | 659.14136      
GTR+X           | 8               | -310.5345       | 637.93646        | 637.069         | 662.38727      
GTR+G+X         | 9               | -309.42337      | 637.9376         | 636.84674       | 665.32983      
GTR+G           | 9               | -309.83572      | 638.7623         | 637.67145       | 666.15454      
GTR             | 8               | -311.07162      | 639.01074        | 638.14325       | 663.46155      
GTR+I           | 9               | -310.42627      | 639.9434         | 638.85254       | 667.33563      
GTR+I+X         | 9               | -310.49234      | 640.07556        | 638.9847        | 667.4678       
GTR+I+G+X       | 10              | -309.4326       | 640.20667        | 638.8652        | 670.51306      
GTR+I+G         | 10              | -309.83377      | 641.00903        | 639.66754       | 671.3154       
TRNEF+G         | 3               | -380.58112      | 767.3026         | 767.16223       | 776.6566       
TRNEF+I         | 3               | -381.16995      | 768.4803         | 768.3399        | 777.8343       
TRNEF+I+G       | 4               | -380.5715       | 769.3783         | 769.143         | 781.8021       
TRNEF           | 2               | -383.99432      | 772.0584         | 771.98865       | 778.31824      
SYM+G           | 6               | -379.85022      | 772.20044        | 771.70044       | 790.68915      
SYM+I           | 6               | -380.37598      | 773.25195        | 772.75195       | 791.74066      
SYM+I+G         | 7               | -379.84402      | 774.3587         | 773.68805       | 795.84155      
SYM             | 5               | -382.55887      | 775.4728         | 775.11774       | 790.94165      
K80+G           | 2               | -387.84775      | 779.76526        | 779.6955        | 786.0251       
K80+I           | 2               | -387.89062      | 779.851          | 779.78125       | 786.11084      
K80+I+G         | 3               | -387.83585      | 781.8121         | 781.6717        | 791.1661       
K80             | 1               | -393.65497      | 789.33307        | 789.30994       | 792.47473      
JC+G            | 1               | -422.9285       | 847.8801         | 847.857         | 851.0218       
JC+I            | 1               | -422.98288      | 847.9889         | 847.96576       | 851.13055      
JC+I+G          | 2               | -422.66943      | 849.4086         | 849.33887       | 855.66846      
JC              | 0               | -427.75766      | 855.5153         | 855.5153        | 855.5153       
