Model selection results for subset: e5eaf9ed042be02b628766f42efd8de6
Subset alignment stored here: .\analysis\phylofiles\e5eaf9ed042be02b628766f42efd8de6.phy
This subset contains the following data_blocks: CDS-ND3_DNA_MAFFT_3stPos
Number of columns in subset: 117
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+X           | 4               | -212.86925      | 434.09564        | 433.7385        | 444.7872       
HKY             | 4               | -213.27415      | 434.90546        | 434.5483        | 445.59702      
TRN+X           | 5               | -212.40349      | 435.3475         | 434.80698       | 448.61786      
TRN             | 5               | -212.65254      | 435.8456         | 435.30508       | 449.11597      
HKY+G+X         | 5               | -212.75916      | 436.05884        | 435.5183        | 449.3292       
HKY+I+X         | 5               | -212.86626      | 436.27304        | 435.7325        | 449.5434       
HKY+G           | 5               | -213.16512      | 436.87076        | 436.33023       | 450.1411       
HKY+I           | 5               | -213.2689       | 437.07834        | 436.5378        | 450.3487       
TRN+G+X         | 6               | -212.2345       | 437.23264        | 436.469         | 453.04202      
TRN+I+X         | 6               | -212.30167      | 437.36697        | 436.60333       | 453.17636      
TRN+G           | 6               | -212.47018      | 437.704          | 436.94037       | 453.5134       
TRN+I           | 6               | -212.53448      | 437.8326         | 437.06897       | 453.642        
HKY+I+G+X       | 6               | -212.75739      | 438.2784         | 437.51477       | 454.0878       
HKY+I+G         | 6               | -213.1615       | 439.08664        | 438.323         | 454.89603      
TRN+I+G+X       | 7               | -212.23827      | 439.50406        | 438.47653       | 457.81174      
TRN+I+G         | 7               | -212.46848      | 439.96448        | 438.93695       | 458.27216      
GTR+X           | 8               | -211.51753      | 440.3684         | 439.03506       | 461.13245      
GTR             | 8               | -211.7287       | 440.79074        | 439.4574        | 461.55478      
GTR+G+X         | 9               | -211.44942      | 442.5811         | 440.89883       | 465.7584       
GTR+I+X         | 9               | -211.50685      | 442.69595        | 441.0137        | 465.87326      
GTR+G           | 9               | -211.64993      | 442.98212        | 441.29987       | 466.15942      
GTR+I           | 9               | -211.69052      | 443.0633         | 441.38104       | 466.2406       
GTR+I+G+X       | 10              | -211.44868      | 444.97284        | 442.89737       | 470.5191       
GTR+I+G         | 10              | -211.6496       | 445.37466        | 443.2992        | 470.92093      
K80             | 1               | -251.24757      | 504.52994        | 504.49515       | 507.25732      
K80+G           | 2               | -250.82323      | 505.7517         | 505.64645       | 511.1708       
K80+I           | 2               | -250.93987      | 505.985          | 505.87973       | 511.40408      
TRNEF           | 2               | -250.96896      | 506.04318        | 505.93793       | 511.46228      
TRNEF+G         | 3               | -250.66725      | 507.5469         | 507.3345        | 515.62103      
K80+I+G         | 3               | -250.8181       | 507.8486         | 507.6362        | 515.9227       
TRNEF+I         | 3               | -250.854        | 507.9204         | 507.708         | 515.9945       
SYM             | 5               | -248.98474      | 508.51           | 507.96948       | 521.78033      
TRNEF+I+G       | 4               | -250.67892      | 509.715          | 509.35785       | 520.40656      
SYM+G           | 6               | -248.92961      | 510.62286        | 509.85922       | 526.43225      
SYM+I           | 6               | -248.9716       | 510.70685        | 509.9432        | 526.51624      
SYM+I+G         | 7               | -248.94846      | 512.92444        | 511.8969        | 531.2321       
JC              | 0               | -271.53757      | 543.07513        | 543.07513       | 543.07513      
JC+G            | 1               | -271.1638       | 544.36237        | 544.3276        | 547.0897       
JC+I            | 1               | -271.29865      | 544.6321         | 544.5973        | 547.35944      
JC+I+G          | 2               | -271.15613      | 546.41754        | 546.31226       | 551.8366       
