Median length	684.0
Size range:  664 to 684
Accession ID, Species, Sequence name           Length  Difference from median length  Percent of median length    Groups  Fragment of
LT599487.1, Centrochelys sulcata, ATP6            684                              0                    100.00    set: 1  
MT017690.1, Chelonoidis abingdonii, ATP6          684                              0                    100.00    set: 2  
NC_051472.1, Chelonoidis abingdonii, ATP6         684                              0                    100.00    set: 2  
OM719673.1, Chelonoidis abingdonii, ATP6          684                              0                    100.00    set: 2  
OM719698.1, Chelonoidis abingdonii, ATP6          684                              0                    100.00    set: 2  
LT599482.1, Chelonoidis alburyorum, ATP6          684                              0                    100.00    set: 3  
MT017693.1, Chelonoidis becki, ATP6               684                              0                    100.00    set: 4  
NC_051473.1, Chelonoidis becki, ATP6              684                              0                    100.00    set: 4  
OM719692.1, Chelonoidis becki, ATP6               684                              0                    100.00    set: 4  
OM719693.1, Chelonoidis becki, ATP6               684                              0                    100.00    set: 4  
LT599483.1, Chelonoidis carbonarius, ATP6         684                              0                    100.00    set: 5  
MT017704.1, Chelonoidis carbonarius, ATP6         683                             -1                     99.85    set: 6  
OQ789392.1, Chelonoidis carbonarius, ATP6         684                              0                    100.00    set: 7  
NC_080265.1, Chelonoidis carbonarius, ATP6        684                              0                    100.00    set: 7  
MT017692.1, Chelonoidis chathamensis, ATP6        684                              0                    100.00    set: 8  
OM719702.1, Chelonoidis chathamensis, ATP6        684                              0                    100.00    set: 8  
OM719703.1, Chelonoidis chathamensis, ATP6        684                              0                    100.00    set: 8  
OM719704.1, Chelonoidis chathamensis, ATP6        684                              0                    100.00    set: 8  
LT599484.1, Chelonoidis chilensis, ATP6           684                              0                    100.00    set: 9  
MT017694.1, Chelonoidis darwini, ATP6             684                              0                    100.00    set: 4  
NC_051474.1, Chelonoidis darwini, ATP6            684                              0                    100.00    set: 4  
OM719670.1, Chelonoidis darwini, ATP6             684                              0                    100.00    set: 4  
OM719671.1, Chelonoidis darwini, ATP6             684                              0                    100.00    set: 4  
OM719672.1, Chelonoidis darwini, ATP6             684                              0                    100.00    set: 4  
LT599485.1, Chelonoidis denticulatus, ATP6        681                             -3                     99.56   set: 10  
MT017703.1, Chelonoidis denticulatus, ATP6        682                             -2                     99.71   set: 11  
MT017695.1, Chelonoidis donfaustoi, ATP6          684                              0                    100.00    set: 8  
NC_051475.1, Chelonoidis donfaustoi, ATP6         684                              0                    100.00    set: 8  
MG912791.1, Chelonoidis duncanensis, ATP6         684                              0                    100.00   set: 12  
MG912792.1, Chelonoidis duncanensis, ATP6         684                              0                    100.00   set: 12  
MG912820.1, Chelonoidis duncanensis, ATP6         684                              0                    100.00   set: 13  
MG912828.1, Chelonoidis duncanensis, ATP6         684                              0                    100.00   set: 13  
MT017697.1, Chelonoidis duncanensis, ATP6         684                              0                    100.00   set: 12  
NC_051477.1, Chelonoidis duncanensis, ATP6        684                              0                    100.00   set: 12  
MT017700.1, Chelonoidis guntheri, ATP6            684                              0                    100.00   set: 14  
