	cytb: Centrochelys sulcata, LT599487.1	CYTB: Chelonoidis abingdonii, MT017690.1	CYTB: Chelonoidis abingdonii, NC_051472.1	CYTB: Chelonoidis abingdonii, OM719673.1	CYTB: Chelonoidis abingdonii, OM719698.1	cytb: Chelonoidis alburyorum, LT599482.1	CYTB: Chelonoidis becki, MT017693.1	CYTB: Chelonoidis becki, NC_051473.1	CYTB: Chelonoidis becki, OM719692.1	CYTB: Chelonoidis becki, OM719693.1	cytb: Chelonoidis carbonarius, LT599483.1	CYTB: Chelonoidis carbonarius, MT017704.1	CYTB: Chelonoidis carbonarius, OQ789392.1	CYTB: Chelonoidis carbonarius, NC_080265.1	CYTB: Chelonoidis chathamensis, MT017692.1	CYTB: Chelonoidis chathamensis, OM719702.1	CYTB: Chelonoidis chathamensis, OM719703.1	CYTB: Chelonoidis chathamensis, OM719704.1	cytb: Chelonoidis chilensis, LT599484.1	CYTB: Chelonoidis darwini, MT017694.1	CYTB: Chelonoidis darwini, NC_051474.1	CYTB: Chelonoidis darwini, OM719670.1	CYTB: Chelonoidis darwini, OM719671.1	CYTB: Chelonoidis darwini, OM719672.1	cytb: Chelonoidis denticulatus, LT599485.1	CYTB: Chelonoidis denticulatus, MT017703.1	CYTB: Chelonoidis donfaustoi, MT017695.1	CYTB: Chelonoidis donfaustoi, NC_051475.1	CYTB: Chelonoidis duncanensis, MG912791.1	CYTB: Chelonoidis duncanensis, MG912792.1	CYTB: Chelonoidis duncanensis, MG912820.1	CYTB: Chelonoidis duncanensis, MG912828.1	CYTB: Chelonoidis duncanensis, MT017697.1	CYTB: Chelonoidis duncanensis, NC_051477.1	CYTB: Chelonoidis guntheri, MT017700.1	CYTB: Chelonoidis guntheri, NC_051480.1	CYTB: Chelonoidis guntheri, OM719674.1	CYTB: Chelonoidis guntheri, OM719675.1	CYTB: Chelonoidis guntheri, OM719676.1	CYTB: Chelonoidis hoodensis, MT017696.1	CYTB: Chelonoidis hoodensis, NC_051476.1	CYTB: Chelonoidis hoodensis, OM719683.1	CYTB: Chelonoidis hoodensis, OM719684.1	CYTB: Chelonoidis hoodensis, OM719685.1	CYTB: Chelonoidis microphyes, MT017702.1	CYTB: Chelonoidis microphyes, NC_051482.1	CYTB: Chelonoidis microphyes, OM719708.1	CYTB: Chelonoidis microphyes, OM719709.1	CYTB: Chelonoidis niger, JN999704.2	CYTB: Chelonoidis niger, MT017691.1	CYTB: Chelonoidis niger, OM719687.1	CYTB: Chelonoidis phantasticus, OM719686.1	CYTB: Chelonoidis phantasticus, OM719688.1	CYTB: Chelonoidis porteri, MT017698.1	CYTB: Chelonoidis porteri, NC_051478.1	CYTB: Chelonoidis porteri, OM719680.1	CYTB: Chelonoidis porteri, OM719681.1	CYTB: Chelonoidis porteri, OM719682.1	CYTB: Chelonoidis vandenburghi, MT017701.1	CYTB: Chelonoidis vandenburghi, NC_051481.1	CYTB: Chelonoidis vandenburghi, OM719705.1	CYTB: Chelonoidis vandenburghi, OM719706.1	cytb: Chelonoidis vicina, LT599486.1	CYTB: Chelonoidis vicina, MT017699.1	CYTB: Chelonoidis vicina, NC_051479.1	CYTB: Chelonoidis vicina, OM719689.1	CYTB: Chelonoidis vicina, OM719690.1	CYTB: Chelonoidis vicina, OM719691.1	CYTB: Chelonoidis vicina, OQ581203.1	CYTB: Stigmochelys pardalis, NC_007694.1
cytb: Centrochelys sulcata, LT599487.1	200	-232	-232	-232	-232	-231	-234	-234	-234	-234	-228	-65	-228	-228	-232	-232	-232	-232	-207	-234	-234	-234	-234	-234	-233	-5	-232	-232	-232	-232	-232	-232	-232	-232	-232	-232	-232	-232	-232	-234	-234	-234	-234	-234	-232	-232	-232	-232	-228	-3	-232	-232	-233	-232	-232	-232	-232	-232	-232	-232	-232	-232	-202	-232	-232	-232	-232	-232	-232	-233
CYTB: Chelonoidis abingdonii, MT017690.1	-	1,144	1,143	1,143	1,143	947	1,119	1,119	1,119	1,119	903	333	893	893	1,133	1,133	1,133	1,133	853	1,119	1,119	1,119	1,119	1,119	915	22	1,135	1,135	1,109	1,109	1,109	1,109	1,109	1,109	1,119	1,119	1,119	1,119	1,119	1,139	1,139	1,139	1,139	1,139	1,119	1,119	1,119	1,119	1,104	57	1,121	1,121	1,117	1,123	1,123	1,121	1,121	1,123	1,119	1,119	1,119	1,119	1,002	1,119	1,119	1,115	1,119	1,119	1,119	900
CYTB: Chelonoidis abingdonii, NC_051472.1	-	-	1,144	1,143	1,143	947	1,119	1,119	1,119	1,119	903	333	893	893	1,133	1,133	1,133	1,133	853	1,119	1,119	1,119	1,119	1,119	915	22	1,135	1,135	1,109	1,109	1,109	1,109	1,109	1,109	1,119	1,119	1,119	1,119	1,119	1,139	1,139	1,139	1,139	1,139	1,119	1,119	1,119	1,119	1,104	57	1,121	1,121	1,117	1,123	1,123	1,121	1,121	1,123	1,119	1,119	1,119	1,119	1,002	1,119	1,119	1,115	1,119	1,119	1,119	900
CYTB: Chelonoidis abingdonii, OM719673.1	-	-	-	1,144	1,143	947	1,119	1,119	1,119	1,119	903	333	893	893	1,133	1,133	1,133	1,133	853	1,119	1,119	1,119	1,119	1,119	915	22	1,135	1,135	1,109	1,109	1,109	1,109	1,109	1,109	1,119	1,119	1,119	1,119	1,119	1,139	1,139	1,139	1,139	1,139	1,119	1,119	1,119	1,119	1,104	57	1,121	1,121	1,117	1,123	1,123	1,121	1,121	1,123	1,119	1,119	1,119	1,119	1,002	1,119	1,119	1,115	1,119	1,119	1,119	900
CYTB: Chelonoidis abingdonii, OM719698.1	-	-	-	-	1,144	947	1,119	1,119	1,119	1,119	903	333	893	893	1,133	1,133	1,133	1,133	853	1,119	1,119	1,119	1,119	1,119	915	22	1,135	1,135	1,109	1,109	1,109	1,109	1,109	1,109	1,119	1,119	1,119	1,119	1,119	1,139	1,139	1,139	1,139	1,139	1,119	1,119	1,119	1,119	1,104	57	1,121	1,121	1,117	1,123	1,123	1,121	1,121	1,123	1,119	1,119	1,119	1,119	1,002	1,119	1,119	1,115	1,119	1,119	1,119	900
cytb: Chelonoidis alburyorum, LT599482.1	-	-	-	-	-	1,144	949	949	949	953	891	323	899	899	943	943	943	943	820	949	949	949	949	949	928	22	949	949	945	945	945	945	945	945	943	943	939	939	943	951	951	951	951	951	939	939	939	939	928	21	941	941	945	943	943	941	941	943	939	939	939	939	842	939	939	943	939	939	939	887
CYTB: Chelonoidis becki, MT017693.1	-	-	-	-	-	-	1,144	1,143	1,143	1,139	903	331	897	897	1,121	1,121	1,121	1,121	849	1,143	1,143	1,143	1,143	1,143	917	22	1,123	1,123	1,101	1,101	1,101	1,101	1,101	1,101	1,111	1,111	1,111	1,111	1,111	1,123	1,123	1,123	1,123	1,123	1,111	1,111	1,111	1,111	1,092	51	1,113	1,113	1,105	1,111	1,111	1,109	1,109	1,111	1,111	1,111	1,111	1,111	994	1,111	1,111	1,107	1,111	1,111	1,111	900
CYTB: Chelonoidis becki, NC_051473.1	-	-	-	-	-	-	-	1,144	1,143	1,139	903	331	897	897	1,121	1,121	1,121	1,121	849	1,143	1,143	1,143	1,143	1,143	917	22	1,123	1,123	1,101	1,101	1,101	1,101	1,101	1,101	1,111	1,111	1,111	1,111	1,111	1,123	1,123	1,123	1,123	1,123	1,111	1,111	1,111	1,111	1,092	51	1,113	1,113	1,105	1,111	1,111	1,109	1,109	1,111	1,111	1,111	1,111	1,111	994	1,111	1,111	1,107	1,111	1,111	1,111	900
CYTB: Chelonoidis becki, OM719692.1	-	-	-	-	-	-	-	-	1,144	1,139	903	331	897	897	1,121	1,121	1,121	1,121	849	1,143	1,143	1,143	1,143	1,143	917	22	1,123	1,123	1,101	1,101	1,101	1,101	1,101	1,101	1,111	1,111	1,111	1,111	1,111	1,123	1,123	1,123	1,123	1,123	1,111	1,111	1,111	1,111	1,092	51	1,113	1,113	1,105	1,111	1,111	1,109	1,109	1,111	1,111	1,111	1,111	1,111	994	1,111	1,111	1,107	1,111	1,111	1,111	900
CYTB: Chelonoidis becki, OM719693.1	-	-	-	-	-	-	-	-	-	1,144	907	335	901	901	1,121	1,121	1,121	1,121	849	1,139	1,139	1,139	1,139	1,139	921	20	1,123	1,123	1,105	1,105	1,105	1,105	1,105	1,105	1,115	1,115	1,115	1,115	1,115	1,123	1,123	1,123	1,123	1,123	1,115	1,115	1,115	1,115	1,096	51	1,117	1,117	1,109	1,115	1,115	1,113	1,113	1,115	1,115	1,115	1,115	1,115	998	1,115	1,115	1,111	1,115	1,115	1,115	904
